make_group,make,model,year_start,year_end
ac,AC,Ace,1993,1996
ac,AC,Aceca,1998,2000
ac,AC,Frua,1966,1973
acura,Acura,ADX,2024,
acura,Acura,CL,1997,2004
acura,Acura,CSX,2005,2011
acura,Acura,EL,1997,2000
acura,Acura,ILX,2012,2022
acura,Acura,Integra,1986,
acura,Acura,Legend,1986,1996
acura,Acura,MDX,2001,
acura,Acura,NSX,1991,2022
acura,Acura,RDX,2006,
acura,Acura,RL,2004,2012
acura,Acura,RLX,2013,2020
acura,Acura,RSX,2002,2006
acura,Acura,RSX TYPE-S,2005,2006
acura,Acura,SLX,1996,1999
acura,Acura,TL,1995,2014
acura,Acura,TLX,2015,2024
acura,Acura,TSX,2003,2014
acura,Acura,ZDX,2009,
alfa-romeo,Alfa Romeo,145,1994,2000
alfa-romeo,Alfa Romeo,146,1995,2000
alfa-romeo,Alfa Romeo,147,2000,2009
alfa-romeo,Alfa Romeo,155,1992,1998
alfa-romeo,Alfa Romeo,156,1997,2005
alfa-romeo,Alfa Romeo,156 Sportwagon,2000,2005
alfa-romeo,Alfa Romeo,159,2005,2011
alfa-romeo,Alfa Romeo,159 Sportwagon,2006,2011
alfa-romeo,Alfa Romeo,164,1988,1998
alfa-romeo,Alfa Romeo,166,1996,2007
alfa-romeo,Alfa Romeo,2000,1971,1977
alfa-romeo,Alfa Romeo,33,1983,1994
alfa-romeo,Alfa Romeo,33 Sport,1988,1994
alfa-romeo,Alfa Romeo,4C,2013,2020
alfa-romeo,Alfa Romeo,6,1979,1986
alfa-romeo,Alfa Romeo,75,1985,1992
alfa-romeo,Alfa Romeo,8C,1931,2010
alfa-romeo,Alfa Romeo,Alfasud,1972,1983
alfa-romeo,Alfa Romeo,Alfasud Giardinetta,1975,1981
alfa-romeo,Alfa Romeo,Alfasud Sprint,1976,1983
alfa-romeo,Alfa Romeo,Alfasud Ti,1973,1983
alfa-romeo,Alfa Romeo,Alfetta,1972,1984
alfa-romeo,Alfa Romeo,Arna,1983,1987
alfa-romeo,Alfa Romeo,Brera,2005,2010
alfa-romeo,Alfa Romeo,Crosswagon Q4,2004,2007
alfa-romeo,Alfa Romeo,Giulia,1962,
alfa-romeo,Alfa Romeo,Giulia GTA,2020,
alfa-romeo,Alfa Romeo,Giulia Quadrifoglio,2016,2022
alfa-romeo,Alfa Romeo,Giulia Veloce,2016,2022
alfa-romeo,Alfa Romeo,Giulietta,1954,2020
alfa-romeo,Alfa Romeo,Giulietta Quadrifoglio Verde,2011,2016
alfa-romeo,Alfa Romeo,GT,2003,2010
alfa-romeo,Alfa Romeo,GTV,1995,2005
alfa-romeo,Alfa Romeo,Junior,2024,
alfa-romeo,Alfa Romeo,MiTo,2008,2018
alfa-romeo,Alfa Romeo,MiTo Quadrifoglio Verde,2009,2016
alfa-romeo,Alfa Romeo,MiTo Veloce,2016,2018
alfa-romeo,Alfa Romeo,Montreal,1970,1977
alfa-romeo,Alfa Romeo,Spider,1970,2010
alfa-romeo,Alfa Romeo,Sprint,1976,1989
alfa-romeo,Alfa Romeo,Stelvio,2017,
alfa-romeo,Alfa Romeo,Stelvio Quadrifoglio,2017,2023
alfa-romeo,Alfa Romeo,Tonale,2022,
alpine,Alpine,A110,1962,
alpine,Alpine,A110S,2019,
alpine,Alpine,A290,2024,
alpine,Alpine,A390,2025,
arcfox,Arcfox,Alpha S,2024,
arcfox,Arcfox,Alpha T,2024,
ariel,Ariel,Atom,1999,2013
ariel,Ariel,Nomad,2015,2024
aro,Aro,10 Series,1980,2004
aro,Aro,24 Series,1972,2006
aro,Aro,M Series,1959,1975
artega,Artega,GT,2010,2012
artega,Artega,Scalo,2015,2017
aston-martin,Aston Martin,Cygnet,2011,2013
aston-martin,Aston Martin,DB AR1,2003,2004
aston-martin,Aston Martin,DB11,2016,2023
aston-martin,Aston Martin,DB11 Volante,2018,2023
